Útvar městské části (okres) PČR;Základní útvar PČR, kde došlo k činu;Stadium TČ, 1-příparava, 2-pokus, 3-dokonaný;Druh TČ, 11-zločin, 18-přečin;Takticko-statistická klasifikace činu;Spácháno na ulici-1, ne-2;Čin spáchán na : viz číselník;Použití zbraně : viz číselník;Druh použité zbraně : viz číselník;Datum spáchání činu, či zahájení konání;Datum ukončení konání činu (pokud jiné datum);Předmět zájmu pachatele č. 1;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 2;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 3;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Celková způsobená škoda v Kč;Hlavní kvalifikace činu - paragraf TZ;První odstavec ;Druhý odstavec;Souběhový paragraf;Odstavec souběhu;Druhý souběhový paragraf;Odstavec souběhu;Datum zahájení trestního řízení;Datum ukončení trestního řízení;Způsob ukončení trestního řízení;"Způsob ukončení trestního řízení - text (kde je kód ""0"" tam ještě řízení nemusí být ukončeno"
Brno - město;OOP BRNO - STŘED;3;11;181;2;6;3;5;31.05.2016;31.05.2016;620;bez vztahu;0;nic;0;nic;0;175;1;2c;;;;;09.06.2016;12.08.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;181;1;6;0;0;24.07.2016;24.07.2016;620;bez vztahu;70;mobilní telefony;0;nic;4434;175;1;2b;;;;;24.07.2016;14.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;181;2;6;0;0;23.07.2016;02.01.1900;620;bez vztahu;0;nic;0;nic;700;175;1;;358;1;;;23.07.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;11;181;2;8;0;0;25.08.2013;26.08.2013;620;bez vztahu;0;nic;0;nic;0;175;1;2a;;;;;27.10.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;11;181;1;6;0;0;18.01.2016;22.03.2016;628;bývalý/á přítel/přítelkyně;0;nic;0;nic;0;175;1;2c;;;;;22.03.2016;26.10.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;2;11;181;2;10;0;0;01.06.2016;01.09.2016;620;bez vztahu;341;útoky na server(y) (na data, přesměrování a pod);0;nic;0;175;2d;;;;;;01.09.2016;05.01.2017;8;převzetí útvarem policie, který zahaj. tr. stíhání
Brno - město;OOP BRNO - STŘED;3;18;181;2;10;0;0;22.03.2016;02.01.1900;628;bývalý/á přítel/přítelkyně;0;nic;0;nic;0;175;1;;;;;;22.03.2016;27.04.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;181;2;6;0;0;01.07.2014;01.07.2014;620;bez vztahu;0;nic;0;nic;0;175;1;2d;;;;;29.01.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;183;2;6;0;0;04.03.2016;04.03.2016;0;nic;0;nic;0;nic;0;178;1;2;;;;;04.03.2016;05.03.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;183;2;6;0;0;21.09.2016;21.09.2016;0;nic;0;nic;0;nic;0;178;1;2;;;;;27.09.2016;02.12.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;183;2;6;0;0;08.08.2016;08.08.2016;0;nic;0;nic;0;nic;0;178;1;2;358;1;;;10.08.2016;11.10.2016;1;zjištění pachatele
